projectDescriptionID,releaseID,sourceOfFishSiteID,releaseSiteID,releaseSubSiteID,nReleased,releaseTime,testDays,appliedMarkPositionID,releasePurpose,commonName,markedRun,markedLifeStage,markedFishOrigin,releaseLightCondition,includeTest,appliedMarkType,appliedMarkColor
9,586,252,62000,NA,520,2018-10-25T09:41:17Z,14,13,Trap capture efficiency test,Chinook salmon,Late fall,Smolt,Hatchery,NA,Yes,Pigment / dye,Pink
9,587,252,62000,NA,585,2018-10-25T09:55:17Z,14,7,Trap capture efficiency test,Chinook salmon,Late fall,Smolt,Hatchery,NA,Yes,Fin clip,Not applicable (n/a)
9,588,252,62000,NA,642,2018-11-08T10:30:17Z,91,13,Trap capture efficiency test,Chinook salmon,Late fall,Smolt,Hatchery,NA,Yes,Elastomer,Orange
9,589,63000,62000,NA,293,2019-02-07T11:45:17Z,35,21,Trap capture efficiency test,Chinook salmon,Other,Juvenile,Unknown,NA,Yes,Pigment / dye,Brown
9,590,63000,62000,NA,792,2019-04-13T11:00:17Z,12,21,Trap capture efficiency test,Chinook salmon,Other,Juvenile,Unknown,NA,Yes,Pigment / dye,Brown
9,591,252,62000,NA,1114,2019-03-14T09:57:17Z,13,13,Trap capture efficiency test,Chinook salmon,Fall,Juvenile,Hatchery,NA,Yes,Elastomer,Pink
9,592,252,62000,NA,910,2019-03-28T09:15:17Z,13,13,Trap capture efficiency test,Chinook salmon,Fall,Juvenile,Hatchery,NA,Yes,Elastomer,Orange
9,593,252,62000,NA,1121,2019-04-11T11:15:17Z,12,13,Trap capture efficiency test,Chinook salmon,Fall,Juvenile,Hatchery,NA,Yes,Elastomer,Green
9,594,63000,62000,NA,127,2019-04-25T09:00:17Z,57,21,Trap capture efficiency test,Chinook salmon,Not recorded,Juvenile,Unknown,NA,No,Pigment / dye,Brown
9,595,63000,62000,NA,100,2021-02-04T10:05:50Z,6,21,Trap capture efficiency test,Chinook salmon,Not recorded,Juvenile,Not recorded,NA,Yes,Pigment / dye,Brown
9,597,63000,62000,NA,264,2021-02-09T10:00:49Z,22,21,Trap capture efficiency test,Chinook salmon,Not recorded,Juvenile,Not recorded,NA,Yes,Pigment / dye,Brown
9,598,63000,62000,NA,137,2021-02-11T10:00:49Z,10,21,Trap capture efficiency test,Chinook salmon,Not recorded,Juvenile,Not recorded,NA,Yes,Pigment / dye,Brown
